category,description,example,notes,phoneme_char
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),"حرف الياء يمكن أن يُستخدم في سياق الإنكار، لكنه ليس أداة إنكار مستقلة بذاته، بل يأتي غالبًا في بعض الأساليب التي تفيد الإنكار أو التعجب أو التوبيخ. أسلوب النداء التعجبي أو التوبيخي يُستخدم ""يا"" الندائية مع التعجب أو التوبيخ، مما قد يفيد الإنكار الضمني، مثل: ""يا لَلْعجب!"" (تفيد التعجب والإنكار من شيء غير متوقع). ""يا لك من رجلٍ جريء!"" (تفيد التوبيخ وربما الإنكار). أسلوب التحسر أو التوجع ""يا حسرتاه!"" (تفيد الندم والإنكار لما حدث). ""يا ويلتاه!"" (تفيد الإنكار مع الشعور بالخطر أو الندم). فحرف الياء لا يؤدي وظيفة الإنكار بشكل مباشر، لكنه يدخل في سياقات تدل على الإنكار حسب التركيب والمعنى العام للجملة. فالإنكار الصريح يتم غالبًا باستخدام أدوات مثل: ""لا""، ""ما""، ""ليس""، ""إنّ... إلا""، ""لم"" وهكذا.","يا لَلْعَجَب!
يا لَك مِنْ رَجُلٍ جَرِيء!
يا حَسْرَتاه!
يا وَيْلَتَاه!",NULL,ي
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"نعم، حرف الياء يلعب دورًا مهمًا في التلاعب اللفظي والجناس، ويؤثر بشكل كبير في السجع والجناس والتكرار بفضل خصائصه الصوتية. حيث إن صوته لين وسهل النطق، مما يجعله مفضلًا في السجع والجناس. وتمتد الياء عند النطق، مما يمنح النص موسيقية خاصة، ويمكن أن تأتي في نهاية الكلمات بسهولة، مما يساعد في تكوين توافق صوتي. فالسجع يعتمد على التوافق الصوتي في نهاية الجمل، وحرف الياء يسهم في ذلك بفضل ليونته وامتداده الصوتي. مثال: ""حلمك زين، وغضبك شين"" ووجود الياء في هذه العبارات يمنحها انسجامًا موسيقيًا جذابًا. وفي الجناس: الجناس يعتمد على التشابه في المبنى والاختلاف في المعنى، وحرف الياء قد يؤدي دورًا بارزًا فيه، مثل: ""يجري النهر، ويجري الزمن"" (جناس ناقص). وفي التكرار، فالتكرار يعزز الإيقاع والتأثير البلاغي، والياء بصوتها اللين والممدود تساعد في خلق وقع موسيقي مميز، مثل: ""يا ليلي يا عيني"" و""عليّ عليّ"".","""حُلْمَكَ زِين، وَغَضَبُكَ شِين""
""يِجْرِي النَهْرُ، ويَجْرِي الزَمَنُ""
""يا لَيْلِي يا عَيْنِي""
""عَليّ عَليّ،""",NULL,ي
دوره في الفصاحة والبيان ( تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته ),"حرف الياء من الحروف التي تلعب دورًا بارزًا في الفصاحة والبيان في اللغة العربية، حيث يساهم في تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته. ليونته وإطالة صوته يمنحان الجملة إيقاعًا موسيقيًا أكثر سلاسة، خاصة عند استخدامه في القوافي والنثر المسجوع، مما يحسّن التذوق الفني للنص. ويساعد في زيادة وضوح المعنى بالتوكيد والتخصيص، إذ تُستخدم الياء في ضمائر المخاطبة مثل ""إياي""، و""عليّ""، مما يساعد في تخصيص الفاعل أو المفعول به. ويُحسّن الجرس الموسيقي في الشعر والنثر، حيث تتكرر الياء كثيرًا في القوافي والأوزان الشعرية. مثلًا: ""أنا البحر في أحشائهِ الدر كامنٌ"" (مدّ الياء في ""في"" و""أحشائهِ"" يضفي ليونة وجمالًا). وتستخدم أيضًا للدلالة على الامتداد والاتساع في كلمات مثل ""العلياء""، ""الدنيا"". كما تؤدي وظيفة التوكيد في النداء والمناجاة بحرف النداء ""يا""، الذي يُعدّ أداة بلاغية مؤثرة في الدعاء والاستغاثة، مثل: ""يا ليت الشباب يعود يومًا!"". فحرف الياء ليس مجرد عنصر صوتي في الكلمة، بل هو أداة فاعلة في تحسين جمال الجملة العربية، سواء بإعطائها انسيابية موسيقية، أو بإيضاح المعنى وتقويته، أو بإبراز دلالات الامتداد والعاطفة.","""إِيّايَ تَعني بِهَذا الحَدِيث؟""
كِتَابي
""أنا البَحْرُ فِي أحْشَائهِ الدُرُ كامِنٌ"" (مدّ الياء في ""في"" و""أحشائهِ"" يضفي ليونة وجمالًا)
""العَلياء""، ""الدُنْيَا""
""يا لَيْتَ الشَبَابَ يَعُودُ يَومًا!""",NULL,ي
أثره على الإيحاءات العاطفية والنفسية في السّياق,"حرف الياء يمكن أن يكون له تأثير على الإيحاءات العاطفية والنفسية في السياق اللغوي. في اللغة العربية، قد يرتبط حرف الياء بأثر معين في السمع والإحساس، خصوصًا عندما يكون جزءًا من الكلمة أو الجملة. أحيانًا تُعدّ الكلمات التي تحتوي على الياء أكثر نعومة أو لطافة، مثل ""سُمَيّة"" أو ""دُنيا"". ويرتبط أحيانًا بالمؤنث أو الدلالات الجمالية، مما يضفي إيحاءً بالرقة أو الجمال في السياق. كما يؤدي التكرار إلى تعزيز الإيقاع الهادئ، مما يعزز الإحساس بالراحة أو السكينة، مثل: ""حبيبي"" أو ""يا ليل"".","""حَبِيبِي"" أو ""يَا لَيْل""
""سُمَيّة"" أو ""دُنْيَا""",NULL,ي
التحوّل في معنى الكلمة,حرف الألف له تأثير مهم في معنى الكلمات في اللغة العربية، حيث يمكن أن يغير معاني الكلمات بشكل كبير تبعًا لموقعه أو وجوده في الكلمة. فعلى سبيل المثال، إضافة الألف في صيغة «سيَّارة» (من الجذر سير) جعلها تدل على آلة نقل أو كثرة السير (المسافرين) كما ورد في القرآن الكريم. وكذلك «فاتح» (من الجذر فتح)، و«لاعب» (من الجذر لعب)، حيث يصبح دلاليًا صفة للشخص الذي أطلقت عليه.,"سِيَّارَة = سَير
فَاتِح = فَتَحَ
لاعِب = لَعِبَ",NULL,ا
التحوّل في دلالة الزمن ( الطلب - النفي - الاستمرارية - التحذير ),"تحوّل دلالة الزمن لحرف المد ""ا"" يعتمد على السياق اللغوي والجملة التي يرد فيها، حيث يمكن أن يؤثر في المعنى وفقًا للغرض من الكلام. فمثلًا في الطلب، قد نرى حرف الألف في فعل مضارع مقرونًا بضمير الجماعة يفيد الرجاء أو الدعوة: ""دعونا نذهب"". وفي النفي، يمكن إطالة المد لتأكيد النفي أو نفي الاستمرارية: ""ما كنتُ أظنّه يكون هكذا"". وفي التحذير، يطول المد لإبراز التحذير والتوكيد على الخطر، مثل: ""إيّاكَ والغدر"".","دَعُونَا نَذْهَب
مَا كنتُ أَظُنّه يَكونُ هَكذا
انتبه! احذر!
إِيَّاكَ والغَدر",NULL,ا
علاقته في التقديم والتأخير ( وأثر ذلك في المعنى وإثارة الانتباه ),"حرف المد عند التقديم والتأخير ليس مجرد امتداد صوتي، بل هو أداة بلاغية تؤثر على الإيقاع وجذب الانتباه. يُستعمل في النصوص الأدبية والقرآنية لإبراز معانٍ معينة والتأثير في المتلقّي. مثلًا، تأخير كلمة ""المؤتفكات"" في قوله تعالى: ""وَجَاءَ فِرْعَوْنُ وَمَنْ قَبْلَهُ وَالْمُؤْتَفِكَاتُ بِالْخَاطِئَةِ"" يلفت الانتباه إليها. كما في ""وَالسَّابِقُونَ السَّابِقُونَ""، فإن تكرار الاسم وتقديمه يُكسب المعنى قوة وإيقاعًا مميزًا.","""وَجَاءَ فِرْعَوْنُ وَمَنْ قَبْلَهُ وَالْمُؤْتَفِكَاتُ بِالْخَاطِئَةِ""
""وَالسَّابِقُونَ السَّابِقُونَ""",NULL,ا
دوره في التوكيد ( لإبراز المعنى وتقويته ),"يمكن استخدام حرف الألف (حرف المد) في الكلام لإعطاء مزيد من التوكيد اللفظي والبلاغي؛ فإطالة الألف في بعض الصيغ قد تحمل معنى المبالغة أو شدة التأثير. مثل صيغة ""جبّاااار"" بدل ""جبّار"" لإظهار المبالغة في الصفة، أو ""سلااااامٌ عليكم"" لإبراز التحية. وفي بعض السياقات، يمكن أن تعطي إطالة الألف إحساسًا أقوى بالمودة أو التحذير مثل: ""حباااااك الله"" أو ""لااا باطل بعده"".","جَبّاااار - جَبّار
سَلااااامٌ عَلَيكُم
حَبَااااااكَ اللهُ - حَبَاكَ اللهُ",NULL,ا
دوره في الإنكار ( لإظهار الدهشة والاستغراب ),"حرف المد ""ا"" في سياق الإنكار يمكن أن يُوسّع الصوت ويُبرز مشاعر النفي أو الاستنكار بشدة، لا سيما في العربية الفصحى واللهجات. فهو ليس مجرد صوت ممتد، بل أداة تعبيرية تُضفي وقعًا دراميًا على العبارة. فمثلًا: ""مااا هذا؟!"" لإبداء الدهشة، و""لااا أصدق!"" أو ""لَااا يمكن أن يحدث!"" لإبراز الاستبعاد الشديد. وفي الاستخدام الشعري والخطابي، تكسب الجملة نبرة عالية من الاستنكار: ""هَيْهَاتَ هَيْهَاتَ لِمَا تُوعَدُونَ"".","مَااا هذا؟!
لااا أُصَدق!
لااا يُمْكِن
هَيْهَااتَ هَيْهَااتَ",NULL,ا
دوره في التلاعب اللفظي والجناس ( السجع - الجناس - التكرار ),"له دور مميز في إضفاء إيقاع موسيقي وجمالية صوتية تزيد من تأثير النص وسلاسته. في السجع، يساعد حرف المدّ في تحقيق توافق نهايات الجُمل أو العبارات في الوزن والإيقاع، مثل: ""قال القاضي قضاءً نافذًا، ورضي السائلُ رضًا كاملًا"". وفي الجناس، يُبرز الفارق الدقيق بين الكلمتين ويمنحها جمالية صوتية، كما في ""المال مال، إن لم تُحسن استثماره، صار مَلال"". وفي التكرار، يجعل الصوت أكثر جاذبية وسلاسة، مثل: ""يا ليلي، يا عيني، يا ليلي، يا عيني"".","قَالَ القَاضِي قَضَاءً نَافِذًا، وَرَضِيِّ السَائِلُ رِضًا كَامِلًا.
""المَالُ مَال، إِنْ لَمْ تُحْسِن اسْتِثْمَارَهُ، صَارَ مَلال.""
""يَا لَيْلِي، يَا عَيْنِي، يَا لَيْلِي، يَا عَيْنِي""",NULL,ا
دوره في الفصاحة والبيان( تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته ),"يُعد من الأدوات الأساسية في تحسين البناء اللفظي للجملة وزيادة وضوح المعنى وقوّته، إذ يُضفي على النص إيقاعًا جماليًا وتوازنًا صوتيًا. يتجلّى ذلك في توضيح الفرق بين الصيغ مثل ""قال"" و""قل""، حيث يمنح المد مزيدًا من القوة والأداء. وفي نداءات مثل ﴿يَا أَيُّهَا النَّاسُ﴾ يضفي المد نداءً قويًا وشاملًا. كذلك بين ""حزن"" و""حزينا""، حيث يضفي المد عمقًا عاطفيًا أكبر.","""قَالَ"" - ""قُلْ""
﴿يَا أَيُّهَا النَّاسُ﴾
""حُزُن"" - ""حَزِينَا""",NULL,ا
أثره على الإيحاءات العاطفية والنفسية في السّياق,"يملك تأثيرًا عاطفيًا ونفسيًا قويًا، خصوصًا في النصوص الشعرية أو الأدبية. يمكن استخدام المد لإبراز المشاعر العميقة كالحب والحزن والشوق، حيث يعكس امتداد الصوت طول المعاناة أو العمق العاطفي. وقد يوحي بالراحة في كلمات مثل ""حب""، أو بالقسوة والألم في ""ألم"" و""حزن"". كما يرتبط بالانفتاح والتواصل في كلمات مثل ""أنا""، ""إِنَّا""، ""لَنَا""، و""فِينَا"".","""حُب"" - حُباا
""أَلَم"" - أَلَمَاا
""حُزْن"" - حُزْنَاا
""أنا""، ""إِنَّا""، ""لَنَا""، ""فِينَا""",*,ا
